"Compound/Formulation","Species","Avg/Med Lifespan Change (%)","Max Lifespan Change (%)","Strain","Dosage","Significant?","Reference"
"Tetrahydrocurcumin","Mus musculus","10.6","","Sprague-Dawley","0.002","Y","15247057"
"Green tea polyphenols","Mus musculus","6.4","","Sprague-Dawley","80 mg/L","Y","15247057"
"Fisetin","Drosophila melanogaster","23","","Canton S","100 µm","Y","15254550"
"Resveratrol","Caenorhabditis elegans","10","","N2","100 µm","Y","15254550"
"Resveratrol","Drosophila melanogaster","16","","Canton S","100 µm","Y","15254550"
"Resveratrol","Drosophila melanogaster","20","","Canton S","100 µm","Y","15254550"
"Vitamin E","Asplanchna brightwelli","24.5","","clone 4B61","3 mM","Y","15374519"
"3,3'-thiodipropionic acid","Asplanchna brightwelli","16.4","","clone 4B61","2 mM","Y","15374519"
"Resveratrol","Saccharomyces cerevisiae","0","","BY4741","100 mg/ml","N","15684413"
"Resveratrol","Saccharomyces cerevisiae","0","","PSY316","100 mg/ml","N","15684413"
"Trichostatin A","Drosophila melanogaster","15.6","","Canton S","10 µmol/L","ND","15695762"
"Resveratrol","Saccharomyces cerevisiae","0","","W303R","100 mg/ml","N","15684413"
"Resveratrol","Caenorhabditis elegans","14","","N2","0.5 mM","Y","16256736"
"Resveratrol","Caenorhabditis elegans","17.8","","N2","1 mM","Y","16256736"
"Dauer-inducing Pheromone","Caenorhabditis elegans","13.3","","N2","5% in food","ND","16377915"
"Dauer-inducing Pheromone","Caenorhabditis elegans","26.7","","N2","10% in food","ND","16377915"
"Resveratrol","Caenorhabditis elegans","9.3","","N2","0.1 mM","Y","16256736"
"Crude BB extract (Vaccinium angustifolium)","Caenorhabditis elegans","37","","fem-1(hc17)","1.5 mg/mL","Y","16441844"
"Ampicillin","Caenorhabditis elegans","34","","fem-1(hc17)","100 µg/ml","Y","16441844"
"L-deprenyl","Rattus norvegicus","8.1","","F344/DuCrj","0.25 mg/kg. 3 times a week","Y","16463106"
"Tamarixetin","Caenorhabditis elegans","28","","","NA","ND","16872777"
"L-deprenyl","Rattus norvegicus","6.7","","F344/DuCrj","0.25 mg/kg. 3 times a week","Y","16463106"
"3,5-dihydroxy-4'-acetoxy-trans-stilbene","Saccharomyces cerevisiae","68.2","","PSY316ATÎ±","10 µM","Y","17156081"
"Tocotrienol","Caenorhabditis elegans","20","","N2","NA","ND","16872777"
"3,5-dihydroxy-4'-thiomethyl-trans-stilbene","Saccharomyces cerevisiae","22.7","","PSY316ATÎ±","10 µM","Y","17156081"
"3,5-dihydroxy-4'-ethyl-trans-stilbene","Saccharomyces cerevisiae","51.5","","PSY316ATÎ±","10 µM","Y","17156081"
"Resveratrol","Saccharomyces cerevisiae","41.6","","PSY316ATÎ±","10 µM","Y","17156081"
"Ginkgo biloba extract","Caenorhabditis elegans","8","","N2","100 µg/ml","ND","16872777"
"Resveratrol","Saccharomyces cerevisiae","33.9","","PSY316ATÎ±","10 µM","Y","17156081"
"Gamma-tocopherol","Caenorhabditis elegans","17","","fem-1(hc17)","20 µg/ml","Y","17169403"
"Gamma-tocopherol","Caenorhabditis elegans","21","","fem-1(hc17)","200 µg/ml","Y","17169403"
"Pregnenolone","Caenorhabditis elegans","20","","N2","60 µg/mL","Y","17266678"
"Vitamin E","Drosophila melanogaster","2","","Canton S","100 µg/ml","Y","17169403"
"Nicotinamide riboside","Saccharomyces cerevisiae","20","","BY4741","10 µM","N","17482543"
"Resveratrol","Caenorhabditis elegans","7.4","","N2","100 µM","Y","17875315"
"Resveratrol","Caenorhabditis elegans","8.1","","N2","100 µM","N","17875315"
"Resveratrol","Caenorhabditis elegans","7.5","","N2","100 µM","Y","17875315"
"Resveratrol","Caenorhabditis elegans","3.4","","N2","100 µM","N","17875315"
"Resveratrol","Drosophila melanogaster","-3.4","","Canton S","10 µM","N","17875315"
"Resveratrol","Drosophila melanogaster","-3.4","","Canton S","1 µM","N","17875315"
"Resveratrol","Drosophila melanogaster","-3.4","","Canton S","32 µM","Y","17875315"
"Resveratrol","Drosophila melanogaster","-3.4","","Canton S","100 µM","N","17875315"
"Resveratrol","Drosophila melanogaster","0","","Canton S","200 µM","N","17875315"
"Resveratrol","Drosophila melanogaster","3.4","","Canton S","1000 µM","N","17875315"
"Resveratrol","Drosophila melanogaster","0","","Canton S","1 µM","N","17875315"
"Resveratrol","Drosophila melanogaster","-3.4","","Canton S","3.2 µM","N","17875315"
"Resveratrol","Drosophila melanogaster","0","","Canton S","3.2 µM","N","17875315"
"Resveratrol","Drosophila melanogaster","-7.7","","Canton S","10 µM","Y","17875315"
"Resveratrol","Drosophila melanogaster","-15.4","","Canton S","32 µM","N","17875315"
"Resveratrol","Drosophila melanogaster","-3.4","","Canton S","200 µM","N","17875315"
"Resveratrol","Drosophila melanogaster","-3.4","","Canton S","1000 µM","N","17875315"
"Resveratrol","Drosophila melanogaster","-8.3","","Canton S","10 µM","Y","17875315"
"Resveratrol","Drosophila melanogaster","2.8","","Canton S","1 µM","N","17875315"
"Resveratrol","Drosophila melanogaster","-13.9","","Canton S","32 µM","Y","17875315"
"Resveratrol","Drosophila melanogaster","-2.8","","Canton S","3.2 µM","N","17875315"
"Resveratrol","Drosophila melanogaster","2.8","","Canton S","100 µM","N","17875315"
"Resveratrol","Drosophila melanogaster","-6.8","","Canton S","1 µM","N","17875315"
"Resveratrol","Drosophila melanogaster","-8.3","","Canton S","1000 µM","N","17875315"
"Resveratrol","Drosophila melanogaster","4.5","","Canton S","3.2 µM","N","17875315"
"Resveratrol","Drosophila melanogaster","0","","Canton S","200 µM","N","17875315"
"Resveratrol","Drosophila melanogaster","-4.5","","Canton S","10 µM","N","17875315"
"Resveratrol","Drosophila melanogaster","9.1","","Canton S","32 µM","N","17875315"
"Resveratrol","Drosophila melanogaster","-4.5","","Canton S","200 µM","N","17875315"
"Resveratrol","Drosophila melanogaster","4.5","","Canton S","1000 µM","N","17875315"
"Resveratrol","Drosophila melanogaster","0","","Canton S","100 µM","N","17875315"
"Resveratrol","Drosophila melanogaster","0","","Canton S","10 µM","N","17875315"
"Resveratrol","Drosophila melanogaster","8.2","","Canton S","3.2 µM","N","17875315"
"Resveratrol","Drosophila melanogaster","0","","Canton S","100 µM","N","17875315"
"Resveratrol","Drosophila melanogaster","-2","","Canton S","32 µM","N","17875315"
"Resveratrol","Drosophila melanogaster","2","","Canton S","200 µM","N","17875315"
"Resveratrol","Drosophila melanogaster","-2","","Canton S","1000 µM","N","17875315"
"Resveratrol","Drosophila melanogaster","-2.8","","Dahomey","3.2 µM","N","17875315"
"Resveratrol","Drosophila melanogaster","-5.6","","Dahomey","1 µM","N","17875315"
"Resveratrol","Drosophila melanogaster","0","","Canton S","1 µM","N","17875315"
"Resveratrol","Drosophila melanogaster","-5.6","","Dahomey","10 µM","Y","17875315"
"Resveratrol","Drosophila melanogaster","-2.8","","Dahomey","32 µM","N","17875315"
"Resveratrol","Drosophila melanogaster","-2.8","","Dahomey","200 µM","N","17875315"
"Resveratrol","Drosophila melanogaster","6.9","","Dahomey","1 µM","N","17875315"
"Resveratrol","Drosophila melanogaster","2.8","","Dahomey","100 µM","N","17875315"
"Resveratrol","Drosophila melanogaster","-5.6","","Dahomey","1000 µM","N","17875315"
"Resveratrol","Drosophila melanogaster","-3.4","","Dahomey","3.2 µM","N","17875315"
"Resveratrol","Drosophila melanogaster","3.4","","Dahomey","10 µM","N","17875315"
"Resveratrol","Drosophila melanogaster","-3.4","","Dahomey","100 µM","N","17875315"
"Resveratrol","Drosophila melanogaster","-3.7","","Dahomey","1 µM","N","17875315"
"Resveratrol","Drosophila melanogaster","-3.4","","Dahomey","32 µM","N","17875315"
"Resveratrol","Drosophila melanogaster","6.9","","Dahomey","1000 µM","N","17875315"
"Resveratrol","Drosophila melanogaster","0","","Dahomey","200 µM","N","17875315"
"Resveratrol","Drosophila melanogaster","-7.4","","Dahomey","3.2 µM","N","17875315"
"Resveratrol","Drosophila melanogaster","-7.4","","Dahomey","32 µM","N","17875315"
"Resveratrol","Drosophila melanogaster","0","","Dahomey","10 µM","N","17875315"
"Resveratrol","Drosophila melanogaster","-3.7","","Dahomey","100 µM","N","17875315"
"Resveratrol","Drosophila melanogaster","-7.4","","Dahomey","1000 µM","N","17875315"
"Resveratrol","Drosophila melanogaster","-3","","Dahomey","3.2 µM","N","17875315"
"Resveratrol","Drosophila melanogaster","15.2","","Dahomey","10 µM","N","17875315"
"Resveratrol","Drosophila melanogaster","-7.4","","Dahomey","200 µM","N","17875315"
"Resveratrol","Drosophila melanogaster","9.1","","Dahomey","32 µM","N","17875315"
"Resveratrol","Drosophila melanogaster","0","","Dahomey","100 µM","N","17875315"
"Resveratrol","Drosophila melanogaster","12.1","","Dahomey","200 µM","N","17875315"
"Resveratrol","Drosophila melanogaster","3","","Dahomey","1000 µM","N","17875315"
"Resveratrol","Drosophila melanogaster","2.8","","Dahomey","3.2 µM","N","17875315"
"Resveratrol","Drosophila melanogaster","1.4","","Dahomey","1 µM","N","17875315"
"Resveratrol","Drosophila melanogaster","15.2","","Dahomey","1 µM","N","17875315"
"Resveratrol","Drosophila melanogaster","-1.4","","Dahomey","100 µM","Y","17875315"
"Resveratrol","Drosophila melanogaster","0","","Dahomey","32 µM","N","17875315"
"Resveratrol","Drosophila melanogaster","-1.4","","Dahomey","200 µM","Y","17875315"
"Resveratrol","Drosophila melanogaster","-2.8","","Dahomey","1000 µM","N","17875315"
"Resveratrol","Drosophila melanogaster","0","","Dahomey","10 µM","N","17875315"
"Rhodiola rosea","Drosophila melanogaster","11.9","","","30 mg/mL","Y","17990971"
"Lithium Chloride","Caenorhabditis elegans","36","","N2","10 mM","Y","17959600"
"Rhodiola rosea","Drosophila melanogaster","14","","","30 mg/mL","Y","17990971"
"Mianserin","Caenorhabditis elegans","31","","N2","50 µM","Y","18033297"
"Hydrogen Sulphide","Caenorhabditis elegans","74","","N2","50 ppm","Y","18077331"
"Acticoa powder","Rattus norvegicus","11","","Wistar-Unilever","24 mg/5 ml/kg","Y","18179729"
"Vitamin E","Mus musculus","15","","C57BL/6J","550 mg/kg","Y","18257658"
"Platinum nanoparticles","Caenorhabditis elegans","22","","N2","0.5 mM","Y","18400258"
"Caffeine","Saccharomyces cerevisiae","86","","BY4741","0.2-0.4 mM","Y","18513215"
"Reserpine","Caenorhabditis elegans","31","","N2","30 µM","Y","18409080"
"Eleutherococcus senticosus root extract","Caenorhabditis elegans","16","","N2","250 µg/ml","Y","18536978"
"Rhodiola rosea root extract","Caenorhabditis elegans","15","","N2","10 µg/ml","Y","18536978"
"Nordihydroguaiaretic acid","Mus musculus","12","","UM-HET3","2.5 g/kg food","Y","18631321"
"Quercetin","Caenorhabditis elegans","10","","N2","100 µM","Y","18692520"
"2,4-dinitrophenol","Mus musculus","7.1","","Swiss Webster","1 mg/L","Y","18505478"
"Alpha-lipoic acid","Rattus norvegicus","0","","BN/SsNOlaHSD","1.5 g/kg","N","18486188"
"Quercetin","Caenorhabditis elegans","10","","N2","200 µM","Y","18692520"
"Trolox","Caenorhabditis elegans","31","","N2","3 mM","Y","18755260"
"Taxifolin","Caenorhabditis elegans","51","","N2","820 µM","Y","18755260"
"Quercetin","Caenorhabditis elegans","9","","N2","200 µM","Y","19043800"
"Quercetin","Caenorhabditis elegans","10","","N2","200 µM","Y","19043800"
"Epigallocatechin-3-gallate","Caenorhabditis elegans","12.2","","N2","NA","Y","19085685"
"Cocoa","Drosophila melanogaster","","","rosy^+5","100 g/l medium","N","19083435"
"SkQ1","Drosophila melanogaster","14","","","20 pM-20 nM","Y","19120018"
"SkQ1","Ceriodaphnia affinis","100","","","0.55 nM","Y","19120018"
"Cocoa","Drosophila melanogaster","","","rosy^+5","50 g/l medium","Y","19083435"
"SkQ1","Podospora anserina","50","","","100 nM","Y","19120018"
"Lamotrigine","Drosophila melanogaster","17.2","","Ives","12 mg/ml","Y","19430925"
"Coenzyme Q10","Caenorhabditis elegans","19","","clk-1 (qm30)","","Y","19428456"
"Nicotinamide adenine dinucleotide","Caenorhabditis elegans","15","","N2","100 µM","ND","19370397"
"Lamotrigine","Drosophila melanogaster","15.4","","Ives","12 mg/ml","Y","19430925"
"Carbonylcyanide-3-chlorophenylhydrazone","Caenorhabditis elegans","60","","N2","10 µM","Y","19442682"
"Catechin","Caenorhabditis elegans","13","","N2","200 µm","Y","19501612"
"Juglone","Caenorhabditis elegans","29","","N2","40 µm","Y","19597959"
"Black tea extract","Drosophila melanogaster","10","","","10 mg/ml","Y","19770032"
"Spermidine","Drosophila melanogaster","30","","w1118","1 mM","Y","19801973"
"Spermidine","Saccharomyces cerevisiae","233","","","4 mM","Y","19801973"
"Acetic Acid","Caenorhabditis elegans","23","","N2","50 ppm","Y","19837596"
"Reishi polysaccharide","Caenorhabditis elegans","35","","N2","100 ppm","Y","19837596"
"Glucose","Caenorhabditis elegans","-19","","N2","2%","Y","19883616"
"Spermidine","Caenorhabditis elegans","15","","N2","0.2 mM","Y","19801973"
"Glucose","Caenorhabditis elegans","-11","","N2","2%","Y","19883616"
"Glucose","Caenorhabditis elegans","0","","N2","2%","N","19883616"
"Glucose","Caenorhabditis elegans","11","","N2","2%","N","19883616"
"Glucose","Caenorhabditis elegans","-9","","N2","2%","Y","19883616"
"Glucose","Caenorhabditis elegans","-24","","N2","2%","Y","19883616"
"Glucose","Caenorhabditis elegans","-15","","N2","2%","Y","19883616"
"Glucose","Caenorhabditis elegans","-20","","N2","2%","Y","19883616"
"Glucose","Caenorhabditis elegans","-31","","N2","2%","Y","19883616"
"Glucose","Caenorhabditis elegans","-17","","N2","2%","Y","19883616"
"Glucose","Caenorhabditis elegans","-28","","N2","2%","Y","19883616"
"Glucose","Caenorhabditis elegans","-23","","N2","2%","Y","19883616"
"Glucose","Caenorhabditis elegans","-16","","N2","2%","Y","19883616"
"Glucose","Caenorhabditis elegans","-17","","N2","102%","Y","19883616"
"Glycerol","Caenorhabditis elegans","-36","","N2","1%","Y","19883616"
"Glycerol","Caenorhabditis elegans","-23","","N2","1%","Y","19883616"
"Sorbitol","Caenorhabditis elegans","5","","N2","2%","N","19883616"
"Glycerol","Caenorhabditis elegans","-24","","N2","1%","Y","19883616"
"Rapamycin","Mus musculus","","","C57BL/6J","4 mg/kg","Y","19934433"
"Sorbitol","Caenorhabditis elegans","-2","","N2","2%","N","19883616"
"Rapamycin","Drosophila melanogaster","13","","white Dahomey","200 µM","Y","20074526"
"SQDB","Caenorhabditis elegans","12","","N2","100 µg/ml","Y","20179756"
"VI-28","Mus musculus","7.2","","C57BL/6J","0.005","N","20370440"
"VI-28","Mus musculus","8.8","","C57BL/6J","0.0005","Y","20370440"
"VI-28","Mus musculus","13.5","","C57BL/6J","0.005","Y","20370440"
"VI-28","Mus musculus","14.4","","C57BL/6J","0.0005","Y","20370440"
"Tannic acid","Caenorhabditis elegans","18","","N2","100 µM","Y","20413530"
"Indolepropionamide","Philodina acuticornis","137.8","","odiosa","10 µM","Y","20421998"
"Indolepropionamide","Philodina acuticornis","229.7","","odiosa","20 µM","Y","20421998"
"Phaseolus vulgaris Extract","Caenorhabditis elegans","13.2","","N2","150 µg / mL","Y","20455573"
"Indolepropionamide","Philodina acuticornis","267.9","","odiosa","30 µM","Y","20421998"
"Trehalose","Caenorhabditis elegans","32","","N2","5 mM","Y","20477758"
"DhHP-6","Caenorhabditis elegans","21","","N2","200 µM","Y","20528576"
"L-Carnitine","Saccharomyces cerevisiae","140","","BY4741","1 mM","N","20550520"
"L-Carnitine","Saccharomyces cerevisiae","260","","BY4741","1 mM","N","20550520"
"L-Carnitine","Saccharomyces cerevisiae","50","","CM39L-11A","1 mM","N","20550520"
"L-Carnitine","Saccharomyces cerevisiae","42.8","","CM39L-11A","1 mM","N","20550520"
"Curcumin","Drosophila melanogaster","19","","Canton S","100 µM","Y","20645870"
"Lithocholic acid","Saccharomyces cerevisiae","100","","BY4741","50 µM","Y","20622262"
"Carnosine","Drosophila melanogaster","20","","","50 mg/l","Y","20681748"
"L-Carnitine","Saccharomyces cerevisiae","62.4","","CM39L-11A","1 mM","N","20550520"
"S,S-trolox-carnosine","Drosophila melanogaster","16","","","50 mg/L","Y","20681748"
"L-Carnitine","Saccharomyces cerevisiae","21.4","","CM39L-11A","1 mM","N","20550520"
"S,S-trolox-carnosine","Drosophila melanogaster","36","","","50 mg/L","Y","20681748"
"Curcumin","Drosophila melanogaster","18","","Ives","250 µM","Y","20645870"
"Apple polyphenols","Caenorhabditis elegans","12","","N2","100 µg/ml","Y","20717869"
"Procyanidins","Caenorhabditis elegans","12.1","","N2","65 µg/ml","Y","20717869"
"Sodium pyruvate","Caenorhabditis elegans","13.9","","N2","2.5 mM","Y","21040400"
"Morphine","Drosophila melanogaster","3.2","","Oregon R","","Y","21061062"
"Morphine","Drosophila melanogaster","2.6","","Oregon R","","Y","21061062"
"Celecoxib","Caenorhabditis elegans","19","","N2","10 µM","Y","21348927"
"Apple polyphenols","Drosophila melanogaster","10","","Oregon R","NA","Y","21319854"
"Pyrrolidine dithiocarbamate","Drosophila melanogaster","16","","","20 mg/l","Y","21483034"
"Oregano and Cranberry extracts","Anastrepha ludens","43","","Loew","0.02","Y","21455602"
"Diallyl trisulfide","Caenorhabditis elegans","13","","TJ1060","10 µM","Y","21296648"
"Pyrrolidine dithiocarbamate","Drosophila melanogaster","15","","","20 mg/l","Y","21483034"
"Caffeic acid","Caenorhabditis elegans","11","","N2","300 µM","Y","21503726"
"Q3M","Caenorhabditis elegans","20","","N2","20 µg/mL","Y","21563825"
"Q3'G","Caenorhabditis elegans","12","","N2","21 µg/mL","Y","21563825"
"Electrolyzed reduced water","Caenorhabditis elegans","12.1","","N2","","Y","21737933"
"Rosmarinic acid","Caenorhabditis elegans","10","","N2","200 µM","Y","21503726"
"Electrolyzed reduced water","Caenorhabditis elegans","15.5","","N2","","Y","21737933"
"Electrolyzed reduced water","Caenorhabditis elegans","32.3","","N2","","Y","21737933"
"Epicatechin","Drosophila melanogaster","42","","Canton S","0.1 mM/l","Y","21525262"
"Electrolyzed reduced water","Caenorhabditis elegans","37.4","","N2","","Y","21737933"
"Platinum nanoparticles","Caenorhabditis elegans","1.7","","N2","50 ppb","N","21737933"
"Quercetin","Caenorhabditis elegans","14","","N2","22 µg/mL","Y","21563825"
"Platinum nanoparticles","Caenorhabditis elegans","3.9","","N2","2 ppb","N","21737933"
"Platinum nanoparticles","Caenorhabditis elegans","5","","N2","10 ppb","N","21737933"
"Platinum nanoparticles","Caenorhabditis elegans","7.1","","N2","5 ppb","Y","21737933"
"Ferulsinaic acid","Caenorhabditis elegans","20","","N2","100 µM","Y","21749391"
"Platinum nanoparticles","Caenorhabditis elegans","18.2","","N2","2 ppb","Y","21737933"
"Plumbagin","Caenorhabditis elegans","-23","","N2","150 µM","Y","21765926"
"Plumbagin","Caenorhabditis elegans","-84","","N2","200 µM","Y","21765926"
"Plumbagin","Caenorhabditis elegans","-91","","N2","250 µM","Y","21765926"
"Plumbagin","Caenorhabditis elegans","-86","","N2","250 µM","Y","21765926"
"Plumbagin","Caenorhabditis elegans","-86","","N2","300 µM","Y","21765926"
"Plumbagin","Caenorhabditis elegans","-90","","N2","400 µM","Y","21765926"
"Plumbagin","Caenorhabditis elegans","-81","","N2","500 µM","Y","21765926"
"Plumbagin","Caenorhabditis elegans","-91","","N2","500 µM","Y","21765926"
"Gallic Acid","Caenorhabditis elegans","10","","N2","300 µM","Y","21805983"
"Rasayana","Drosophila melanogaster","51.1","","Oregon-K","1 drop","Y","21836798"
"Rasayana","Drosophila melanogaster","55","","Oregon-K","1 drop","Y","21836798"
